steamId,releaseDate,year,month,firstTimeStamp,firstSales,monthlySalesGrowth
271590,2015-04-13,2020,11,2020-11-01 20:00:00,19255391,286203
271590,2015-04-13,2020,12,2020-12-01 21:00:00,19669361,413970
271590,2015-04-13,2021,1,2021-01-01 21:00:00,20042168,372807
271590,2015-04-13,2021,2,2021-02-01 21:00:00,20781876,739708
271590,2015-04-13,2021,3,2021-03-01 21:00:00,21153805,371929
271590,2015-04-13,2021,4,2021-04-01 20:00:00,21485243,331438
271590,2015-04-13,2021,5,2021-05-01 20:00:00,21771110,285867
271590,2015-04-13,2021,6,2021-06-01 20:00:00,22146054,374944
271590,2015-04-13,2021,7,2021-07-01 20:00:00,22653413,507359
271590,2015-04-13,2021,8,2021-08-01 20:00:00,23112320,458907
271590,2015-04-13,2021,9,2021-09-01 20:00:00,23417625,305305
271590,2015-04-13,2021,10,2021-10-01 20:00:00,23703576,285951
271590,2015-04-13,2021,11,2021-11-01 20:00:00,23993074,289498
271590,2015-04-13,2021,12,2021-12-01 21:00:00,24383825,390751
271590,2015-04-13,2022,1,2022-01-01 21:00:00,24723075,339250
271590,2015-04-13,2022,2,2022-02-01 21:00:00,25033860,310785
271590,2015-04-13,2022,3,2022-03-01 21:00:00,25302621,268761
271590,2015-04-13,2022,4,2022-04-01 20:00:00,25544550,241929
271590,2015-04-13,2022,5,2022-05-01 20:00:00,25785380,240830
271590,2015-04-13,2022,6,2022-06-01 20:00:00,26054474,269094
271590,2015-04-13,2022,7,2022-07-01 20:00:00,26375369,320895
271590,2015-04-13,2022,8,2022-08-01 20:00:00,26719400,344031
271590,2015-04-13,2022,9,2022-09-01 20:00:00,26988228,268828
271590,2015-04-13,2022,10,2022-10-01 20:00:00,27243981,255753
271590,2015-04-13,2022,11,2022-11-01 20:00:00,27502516,258535
271590,2015-04-13,2022,12,2022-12-01 21:00:00,27871480,368964
271590,2015-04-13,2023,1,2023-01-03 00:01:00,29318169,1446689
271590,2015-04-13,2023,2,2023-02-01 00:42:58,30087290,769121
271590,2015-04-13,2023,3,2023-03-01 23:36:26,30660074,572784
271590,2015-04-13,2023,4,2023-04-01 01:00:50,31205201,545127
271590,2015-04-13,2023,5,2023-05-02 01:22:07,31731365,526164
271590,2015-04-13,2023,6,2023-06-01 01:02:26,32222863,491498
271590,2015-04-13,2023,7,2023-07-01 02:17:14,33009448,786585
271590,2015-04-13,2023,8,2023-08-01 00:31:49,33807284,797836
271590,2015-04-13,2023,9,2023-09-01 00:47:57,34342493,535209
271590,2015-04-13,2023,10,2023-10-01 22:07:53,34951966,609473
271590,2015-04-13,2023,11,2023-11-01 22:21:32,35543489,591523
271590,2015-04-13,2023,12,2023-12-01 23:35:50,36133549,590060
271590,2015-04-13,2024,1,2024-01-01 00:27:06,37252135,1118586
271590,2015-04-13,2024,2,2024-02-01 00:43:32,38044304,792169
271590,2015-04-13,2024,3,2024-03-01 00:45:08,38715612,671308
271590,2015-04-13,2024,4,2024-04-01 22:43:02,39410568,694956
271590,2015-04-13,2024,5,2024-05-01 22:29:51,39997893,587325
271590,2015-04-13,2024,6,2024-06-02 00:33:13,40540771,542878
271590,2015-04-13,2024,7,2024-07-01 21:42:10,41139976,599205
271590,2015-04-13,2024,8,2024-08-01 18:00:18,41927198,787222
271590,2015-04-13,2024,9,2024-09-01 18:51:40,42632648,705450
271590,2015-04-13,2024,10,2024-10-01 18:39:19,43330639,697991
553850,2024-02-09,2024,2,2024-02-10 01:33:57,611694,611694
553850,2024-02-09,2024,3,2024-03-01 00:55:21,3969086,3357392
553850,2024-02-09,2024,4,2024-04-01 22:52:30,7963456,3994370
553850,2024-02-09,2024,5,2024-05-01 22:38:58,10181744,2218288
553850,2024-02-09,2024,6,2024-06-02 00:42:26,10924419,742675
553850,2024-02-09,2024,7,2024-07-01 21:48:08,11202690,278271
553850,2024-02-09,2024,8,2024-08-01 18:08:32,11323476,120786
553850,2024-02-09,2024,9,2024-09-01 19:22:18,11534797,211321
553850,2024-02-09,2024,10,2024-10-01 18:49:15,11711595,176798
1938090,2022-10-27,2022,10,2022-10-27 20:00:00,2456159,2456159
1938090,2022-10-27,2022,11,2022-11-01 20:00:00,2456477,318
1938090,2022-10-27,2022,12,2022-12-01 21:00:00,7094888,4638411
1938090,2022-10-27,2023,1,2023-01-02 21:06:17,10136859,3041971
1938090,2022-10-27,2023,2,2023-02-01 21:12:58,11483447,1346588
1938090,2022-10-27,2023,3,2023-03-01 21:12:04,12154180,670733
1938090,2022-10-27,2023,4,2023-04-01 20:17:25,12776306,622126
1938090,2022-10-27,2023,5,2023-05-01 20:34:28,13929320,1153014
1938090,2022-10-27,2023,6,2023-06-01 20:49:39,14380954,451634
1938090,2022-10-27,2023,7,2023-07-01 21:41:37,15224623,843669
1938090,2022-10-27,2023,8,2023-08-01 20:53:51,15947177,722554
1938090,2022-10-27,2023,9,2023-09-01 21:01:53,17011470,1064293
