steamId,last_30_avg,tags,genres,features
1502980,27.26,"['RPG', 'JRPG', 'Female Protagonist', 'Cute', 'Anime', 'Adventure', 'Crafting', 'Fantasy', 'Singleplayer', 'Great Soundtrack', 'Simulation', 'Story Rich', 'Exploration', 'Turn-Based Combat', 'Lore-Rich', 'Colorful', 'Emotional', 'Collectathon', 'Turn-Based', 'Casual']",['RPG'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
392470,13.0,"['Strategy', 'Historical', 'Grand Strategy', 'Simulation', 'RTS', 'War', 'Wargame', 'Character Customization', 'Real Time Tactics', 'Immersive Sim', '3D', 'Diplomacy', 'Military', 'Tactical', 'Alternate History', 'Resource Management', 'Replay Value', 'Singleplayer', 'Great Soundtrack', 'Addictive']",['Strategy'],"['Single-player', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
2131680,24.05,"['Action', 'Adventure', 'Action-Adventure', 'Exploration', '2D Platformer', 'Top-Down Shooter', '2D', 'Pixel Graphics', 'Stealth', 'Cinematic', 'Top-Down', ""1990's"", 'Drama', 'Military', 'War', 'Tactical', 'Tanks', 'Story Rich', 'Singleplayer', 'Violent']",['Action'],"['Single-player', 'Steam Achievements', 'Family Sharing']"
706020,2.14,"['Survival', 'Open World Survival Craft', 'RPG', 'Open World', 'Crafting', 'Online Co-Op', 'Base Building', 'Lovecraftian', 'Singleplayer', 'Third Person', 'Co-op', 'Horror', 'Multiplayer', 'Survival Horror', 'Resource Management', 'Post-apocalyptic', 'Snow', 'Action', 'Souls-like', 'Adventure']",['RPG'],"['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']"
1057750,18.37,"['Walking Simulator', 'Mystery', 'Atmospheric', 'Adventure', 'Thriller', 'Exploration', 'Story Rich', 'Dark', 'Mature', 'Drama', 'Female Protagonist', 'Singleplayer', 'First-Person', 'Short', 'Psychological', 'Open World', 'Realistic', ""1990's"", 'Casual', 'Indie']","['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']"
2494350,480.41,"['Sports', 'Cycling', '3D', 'Management', 'Realistic', 'Singleplayer', 'Simulation']","['Simulation', 'Sports']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
354160,6.62,"['Racing', 'Automobile Sim', 'Multiplayer', 'Simulation', 'Offroad', 'Arcade', 'Driving', 'Singleplayer', 'Realistic']",['Racing'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Family Sharing']"
820630,0.95,"['America', 'Mechs', 'Action', 'Cult Classic', 'Third-Person Shooter', 'Funny', 'Singleplayer', 'Comedy', 'Classic', 'Sci-fi', 'Remake', 'Anime', 'Memes', 'Political', 'Robots', 'Party', 'Shooter']",['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Family Sharing']"
274270,,"['Pixel Graphics', 'Action', 'Indie', 'Comedy', 'Adventure', 'Shooter', 'Gore', '2D', 'Funny', 'Political', 'Great Soundtrack', 'Singleplayer', 'Violent', 'Difficult', 'Platformer', 'Fast-Paced', ""Shoot 'Em Up"", 'Retro', 'Multiplayer']","['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']"
458770,7.39,"['Racing', 'Offroad', 'Multiplayer', 'Automobile Sim', 'Sports', 'Driving', 'Simulation', 'eSports', 'Singleplayer', 'Arcade']",['Racing'],"['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']"
504370,66.06,"['PvP', 'Multiplayer', 'MOBA', 'Competitive', 'Action', 'Free to Play', 'Arena Shooter', 'Fast-Paced', 'Team-Based', 'Fighting', 'Top-Down', 'Early Access', 'Strategy', 'eSports', 'Difficult', 'Great Soundtrack', 'RPG', 'Top-Down Shooter', 'Hack and Slash', 'Atmospheric']","['Action', 'Free To Play']","['Single-player', 'Online PvP', 'In-App Purchases', 'Steam Cloud']"
1851330,43.51,"['RPG', 'Strategy', 'City Builder', 'MMORPG', '4X', 'Strategy RPG', 'Real Time Tactics', 'Tactical RPG', 'Dark Fantasy', 'Magic', 'Supernatural', 'Tactical', 'Vampire', 'War', 'PvP', 'Base Building', 'Character Customization', 'Combat', 'Werewolves', 'Massively Multiplayer']","['Action', 'Free To Play', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']"
1761620,12.33,"['Casual', 'Rhythm', 'Battle Royale', 'Character Customization', 'PvP', 'Funny', '3D', 'Controller', 'Colorful', 'Multiplayer', 'Comedy', 'Quick-Time Events', 'Birds', 'Music', 'Party Game', 'Cute', 'Minigames', 'Alternate History', 'Family Friendly', 'Party']",['Casual'],"['Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Family Sharing']"
968790,38.17,"['Action', 'Musou', 'Hack and Slash', 'Historical', 'Great Soundtrack', 'Singleplayer', 'Anime', 'Co-op', 'Story Rich']",['Action'],"['Single-player', 'Shared/Split Screen Co-op', 'Steam Trading Cards', 'Remote Play Together', 'Family Sharing']"
638650,25.19,"['RPG', 'Anime', 'JRPG', 'Multiplayer', 'Hack and Slash', 'Singleplayer', 'Adventure', 'Open World', 'Online Co-Op', 'Action', 'Character Customization', 'Sexual Content', 'Action RPG', 'Visual Novel', 'MMORPG', 'Dating Sim', 'Dungeon Crawler']",['RPG'],"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
756530,9.16,"['Action', 'Anime', 'Violent', 'Gore', 'Character Customization', 'Singleplayer', 'Multiplayer', 'Hack and Slash', 'Adventure', 'Co-op', 'Horror', 'JRPG']",['Action'],"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Family Sharing']"
1173200,6.69,"['Action', 'Indie', 'RPG', 'Adventure', 'Female Protagonist', 'Pixel Graphics', 'Roguelite', 'Anime', 'Action Roguelike', 'Side Scroller', 'Roguevania', '2D', 'Mechs', 'Metroidvania', 'Singleplayer', 'Cute', 'Story Rich', 'Exploration', 'Sexual Content', 'Roguelike']","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
939100,1.69,"['Roguelike', 'Co-op', 'Action', 'Zombies', 'Medieval', 'Action Roguelike', 'Multiplayer', 'PvE', 'Replay Value', 'Dark Fantasy', 'Dark', 'Atmospheric', 'Hack and Slash', 'Top-Down', 'Difficult', 'Indie', 'Early Access', 'Isometric', 'Werewolves', 'Team-Based']","['Action', 'Indie']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
1011390,22.25,"['Strategy', 'Grand Strategy', 'Turn-Based', 'Historical', 'Rome', 'Multiplayer', 'Resource Management', 'Turn-Based Tactics', '4X', 'War', 'Tactical', 'Turn-Based Strategy', 'Military', 'Replay Value', 'Management', 'Wargame', 'Singleplayer', 'Artificial Intelligence', 'Turn-Based Combat', 'Great Soundtrack']",['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
