name,averageRevenue,medianRevenue,totalRevenue,publishedGames
Neat Corporation,513570.6,222943,2567853,5
JAST,110682.16666666667,63016.5,1328186,12
Two Tribes Publishing,176829.75,185166,707319,4
Adamvision Studios,41737.27272727273,4913,459110,11
"Drecom Co., Ltd.",84580.66666666667,18442,253742,3
Reiza Studios,1472445.6,221875,7362228,5
iRacing.com Motorsport Simulations,940108,940108,1880216,2
iRacing,940108,940108,1880216,2
Weed Games,1196363,1196363,2392726,2
Heartbit Interactive,72210,35476,361050,5
Dustfade,219095,219095,219095,1
Hothead Games,137538.33333333334,103677,412615,3
Xelu,1734410.5,1734410.5,3468821,2
Those Awesome Guys,2307581.2,223378,11537906,5
Midnight Games,86744.73333333334,4906,1301171,15
Stone Fox Studios,221130,221130,221130,1
Fifth Harbour Studios,225940,225940,225940,1
Barspin Studios,220194,220194,220194,1
DNA ARMY GAMING,62719.27272727273,5580,689912,11
Andreas Hager Gaming,219888,219888,219888,1
New Blood Interactive,4364160.120760261,886884,48005761.328362875,11
Survios,1072852.5714285714,414471,7509968,7
Never Games Limited,225022,225022,225022,1
Heart Shaped Games LLC,73388.5,36110,293554,4
WOBBL3 Entertainment LLC,105783,105783,105783,1
Lasse Zacho Malver,56288.75,2936,225155,4
Digital Tentacle,219322,219322,219322,1
Qooc Software,219022,219022,219022,1
Modern Wolf,908017.7777777778,98569,8172160,9
Owlchemy Labs,1867268.5,154438.5,11203611,6
Big Way Games,54822,187,219288,4
Phoenix Games,202415.23076923078,12687,2631398,13
The Hidden Levels,220665,220665,220665,1
IzanagiGames,77953.6,32623,389768,5
ONE MORE LEVEL,115864,115864,231728,2
Spry Fox LLC,467735,216436.5,1870940,4
Yooreka Studio,592149.6258993914,154090.5,3552897.7553963484,6
Mousechief,107974,104342,323922,3
"Tilted Mill Entertainment, Inc.",110374.75,101210.5,441499,4
"The Lo-Fi Apocalypse, Inc.",218000,218000,218000,1
Secret Labo,67949.85714285714,42455,475649,7
Mografi,217284,217284,217284,1
Casper Croes,218018,218018,218018,1
Mike Bushell,219539,219539,219539,1
Flippfly LLC,350028,218399,1050084,3
Boomer Games s.r.o.,216688,216688,216688,1
CRITICAL REFLEX,824165.8183101948,324710.5,6593326.546481558,8
FX Interactive,79573,79573,159146,2
TinyHat Studios,439972.55555555556,54896,7919506,18
18Light Game Ltd.,135988,135988,271976,2
樂磚 Joy Brick,215536,215536,215536,1
Mayflower Entertainment,689196.2,92113.5,6891962,10
Loren Lemcke,207494,215943,622482,3
BEHEMUTT,215568,215568,215568,1
Cadenza Interactive,275826,275826,551652,2
Hello There Games,230597.4,45932,1152987,5
Ravenage Games,245201.42105263157,73880,4658827,19
Doyoyo Games,648315.8333333334,100060.5,7779790,12
昆布科技,215461,215461,215461,1
Crescent Moon Games,19742.222222222223,6857.5,355360,18
Bliss Brain,286492.71428571426,169416,2005449,7
DigiPotato,215203,215203,215203,1
勾八游戏,238812,238812,238812,1
Matt Cohen,214875,214875,214875,1
White_Rabbit_Games,214840,214840,214840,1
Viva Media Inc,109960,109960,219920,2
Frontier Foundry,4134909.5,2304212,24809457,6
Digerati,60641.31034482759,14119,1758598,29
Cogware Games,218428,218428,218428,1
Vismaya,217979,217979,217979,1
